Run: 2, epoch: 22, HR@5: 0.0892, HR@10: 0.1975, HR@15: 0.2739, HR@20: 0.3121, NDCG@5: 0.0558, NDCG@10: 0.0910, NDCG@15: 0.1111, NDCG@20: 0.1201, AUC: 0.5729, train loss: 0.0727, eval loss: 0.0609 
Run: 2, epoch: 23, HR@5: 0.0955, HR@10: 0.1720, HR@15: 0.2611, HR@20: 0.3057, NDCG@5: 0.0543, NDCG@10: 0.0790, NDCG@15: 0.1028, NDCG@20: 0.1134, AUC: 0.5763, train loss: 0.0630, eval loss: 0.0562 
Run: 2, epoch: 24, HR@5: 0.1083, HR@10: 0.1529, HR@15: 0.2739, HR@20: 0.3185, NDCG@5: 0.0657, NDCG@10: 0.0808, NDCG@15: 0.1126, NDCG@20: 0.1231, AUC: 0.5765, train loss: 0.0594, eval loss: 0.0517 
Run: 2, epoch: 25, HR@5: 0.1083, HR@10: 0.1911, HR@15: 0.2611, HR@20: 0.3312, NDCG@5: 0.0624, NDCG@10: 0.0884, NDCG@15: 0.1067, NDCG@20: 0.1231, AUC: 0.5751, train loss: 0.0516, eval loss: 0.0474 
Run: 2, epoch: 26, HR@5: 0.1019, HR@10: 0.2038, HR@15: 0.2803, HR@20: 0.2866, NDCG@5: 0.0592, NDCG@10: 0.0913, NDCG@15: 0.1115, NDCG@20: 0.1130, AUC: 0.5783, train loss: 0.0462, eval loss: 0.0446 
Run: 2, epoch: 27, HR@5: 0.1338, HR@10: 0.2102, HR@15: 0.2866, HR@20: 0.3376, NDCG@5: 0.0730, NDCG@10: 0.0969, NDCG@15: 0.1168, NDCG@20: 0.1288, AUC: 0.5865, train loss: 0.0406, eval loss: 0.0415 
Run: 2, epoch: 28, HR@5: 0.1401, HR@10: 0.2229, HR@15: 0.2803, HR@20: 0.3057, NDCG@5: 0.0742, NDCG@10: 0.1010, NDCG@15: 0.1162, NDCG@20: 0.1223, AUC: 0.5830, train loss: 0.0378, eval loss: 0.0390 
Run: 2, epoch: 29, HR@5: 0.1083, HR@10: 0.1783, HR@15: 0.2675, HR@20: 0.2994, NDCG@5: 0.0689, NDCG@10: 0.0913, NDCG@15: 0.1153, NDCG@20: 0.1228, AUC: 0.5847, train loss: 0.0357, eval loss: 0.0353 
Run: 2, epoch: 30, HR@5: 0.1083, HR@10: 0.2166, HR@15: 0.2739, HR@20: 0.3185, NDCG@5: 0.0611, NDCG@10: 0.0963, NDCG@15: 0.1117, NDCG@20: 0.1221, AUC: 0.5893, train loss: 0.0317, eval loss: 0.0317 
Run: 2, Duration: 716.8494, HR@5: 0.1847, HR@10: 0.2229, HR@15: 0.2866, HR@20: 0.3376, NDCG@5: 0.1430, NDCG@10: 0.1430, NDCG@15: 0.1448, NDCG@20: 0.1487, AUC: 0.5893, train_loss: 0.0317, eval loss: 0.0317
Initial performance HR@5: 0.0637, HR@10: 0.0764, HR@15: 0.1720, HR@20: 0.3185, NDCG@5: 0.0466, NDCG@10: 0.0507, NDCG@15: 0.0760, NDCG@20: 0.1108, AUC: 0.5431, eval loss: 0.3167 
Run: 3, epoch: 1, HR@5: 0.0637, HR@10: 0.0955, HR@15: 0.1656, HR@20: 0.3121, NDCG@5: 0.0449, NDCG@10: 0.0544, NDCG@15: 0.0725, NDCG@20: 0.1073, AUC: 0.5442, train loss: 0.3071, eval loss: 0.3122 
Run: 3, epoch: 2, HR@5: 0.0637, HR@10: 0.0764, HR@15: 0.1656, HR@20: 0.3057, NDCG@5: 0.0448, NDCG@10: 0.0490, NDCG@15: 0.0722, NDCG@20: 0.1050, AUC: 0.5388, train loss: 0.2928, eval loss: 0.3088 
Run: 3, epoch: 3, HR@5: 0.0637, HR@10: 0.0828, HR@15: 0.1720, HR@20: 0.3185, NDCG@5: 0.0519, NDCG@10: 0.0576, NDCG@15: 0.0802, NDCG@20: 0.1151, AUC: 0.5408, train loss: 0.2823, eval loss: 0.3043 
Run: 3, epoch: 4, HR@5: 0.0637, HR@10: 0.0764, HR@15: 0.1592, HR@20: 0.2994, NDCG@5: 0.0423, NDCG@10: 0.0462, NDCG@15: 0.0677, NDCG@20: 0.1009, AUC: 0.5351, train loss: 0.2742, eval loss: 0.3001 
Run: 3, epoch: 5, HR@5: 0.0701, HR@10: 0.0764, HR@15: 0.1401, HR@20: 0.3248, NDCG@5: 0.0558, NDCG@10: 0.0576, NDCG@15: 0.0742, NDCG@20: 0.1181, AUC: 0.5423, train loss: 0.2633, eval loss: 0.2937 
Run: 3, epoch: 6, HR@5: 0.0573, HR@10: 0.0764, HR@15: 0.1847, HR@20: 0.3121, NDCG@5: 0.0471, NDCG@10: 0.0533, NDCG@15: 0.0814, NDCG@20: 0.1113, AUC: 0.5394, train loss: 0.2547, eval loss: 0.2855 
Run: 3, epoch: 7, HR@5: 0.0637, HR@10: 0.0828, HR@15: 0.1975, HR@20: 0.2994, NDCG@5: 0.0538, NDCG@10: 0.0594, NDCG@15: 0.0892, NDCG@20: 0.1130, AUC: 0.5438, train loss: 0.2454, eval loss: 0.2809 
Run: 3, epoch: 8, HR@5: 0.0637, HR@10: 0.0764, HR@15: 0.1783, HR@20: 0.3057, NDCG@5: 0.0515, NDCG@10: 0.0553, NDCG@15: 0.0816, NDCG@20: 0.1116, AUC: 0.5483, train loss: 0.2376, eval loss: 0.2761 
Run: 3, epoch: 9, HR@5: 0.0573, HR@10: 0.0892, HR@15: 0.1592, HR@20: 0.2930, NDCG@5: 0.0502, NDCG@10: 0.0604, NDCG@15: 0.0783, NDCG@20: 0.1100, AUC: 0.5418, train loss: 0.2250, eval loss: 0.2672 
Run: 3, epoch: 10, HR@5: 0.0573, HR@10: 0.0764, HR@15: 0.1465, HR@20: 0.2866, NDCG@5: 0.0494, NDCG@10: 0.0557, NDCG@15: 0.0738, NDCG@20: 0.1071, AUC: 0.5449, train loss: 0.2159, eval loss: 0.2561 
Run: 3, epoch: 11, HR@5: 0.0637, HR@10: 0.0764, HR@15: 0.1274, HR@20: 0.2484, NDCG@5: 0.0582, NDCG@10: 0.0621, NDCG@15: 0.0756, NDCG@20: 0.1041, AUC: 0.5381, train loss: 0.2059, eval loss: 0.2429 
Run: 3, epoch: 12, HR@5: 0.0573, HR@10: 0.0701, HR@15: 0.1146, HR@20: 0.2038, NDCG@5: 0.0518, NDCG@10: 0.0559, NDCG@15: 0.0674, NDCG@20: 0.0882, AUC: 0.5396, train loss: 0.1954, eval loss: 0.2240 
Run: 3, epoch: 13, HR@5: 0.0573, HR@10: 0.0955, HR@15: 0.1210, HR@20: 0.1783, NDCG@5: 0.0513, NDCG@10: 0.0631, NDCG@15: 0.0698, NDCG@20: 0.0833, AUC: 0.5314, train loss: 0.1868, eval loss: 0.1995 
