Run: 2, epoch: 22, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 23, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 24, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 25, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 26, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 27, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 28, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 29, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 30, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, Duration: 2562.7193, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg_train_loss: nan, cf_train_loss: nan, cf_eval_loss: nan 
Run: 3, epoch: 1, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: 557.0604, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 2, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 3, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 4, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 5, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 3, epoch: 6, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
